,Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity,Mixing Entropy,Valence electron
0,Al0.5CoCrCuFeNi,0.4878797546050572,346.0876533733478,-4.853716907592799,3.172258994999999,0.8455675283939778,4.169228707043492,5126.805331650987,1693.0178390999997,0.09487098200858218,14.698050513986049,8.27281
1,Al0.3CoCrFeNi,0.44991283037669716,295.63915003914184,-9.931968562089601,3.0285090709999998,0.9083821287536326,3.7576159621210263,2332.647390733272,1806.3049219,0.09556107457284824,12.826062903506722,7.883789999999999
2,Al0.5CrCuFeNi2,0.3819747095052474,344.85326727440787,-5.856117120585598,3.3571517529999992,0.7145386747978794,4.1996464040258115,3627.7163988182756,1685.7450390999998,0.10007361413207048,12.602339985583432,8.45463
3,CoCrFeNi ,0.36544295724503967,180.37235791550765,-3.7144999999999997,2.9519,126.28231100530084,0.3021158847667784,5808.140599023889,1871.75,0.0869985632065266,11.526292643287958,8.25
4,NiCoCr,0.41811671495193764,204.29941086552353,-5.025232827169199,2.9803368629999993,337.3141347865927,0.16455908117517073,3439.0528406719754,1891.98108,0.10033227795679715,9.134362606477172,8.33325
5,FeNiCo,0.421049517330444,33.89181582624336,-1.0315349245475998,2.965837008,85.08831546130095,0.3276454648614001,15664.545600402482,1768.98231,0.032659699937384545,9.134362606477172,8.99991
6,AlCoCrCuFeNi,0.5262926135934901,392.25632796410144,-10.410194173052803,3.24539824,0.5341401583053528,5.281183410327298,2332.2603515606215,1629.7392608,0.10273112133947852,14.89764878704606,7.833490000000001
7,Al0.5CoCrCuFeNi,0.4878797546050572,346.0876533733478,-4.853716907592799,3.172258994999999,0.8455675283939778,4.169228707043492,5126.805331650987,1693.0178390999997,0.09487098200858218,14.698050513986049,8.27281
8,AlCo0.5CrCuFeNi,0.49810869016065523,407.3749627766238,-10.542822423533597,3.312478578999999,0.495194503571481,5.448060980579608,2254.5161029363703,1617.1507167999996,0.10515063490060339,14.698050513986049,7.727349999999999
9,AlCoCr0.5CuFeNi,0.5394527097867043,371.2395038140365,-11.0348653220952,3.2758509399999993,0.496652965223833,5.440055763134075,2104.098957293783,1579.6957967999997,0.10016408602433757,14.698050513986049,8.000079999999999
10,AlCoCrCu0.5FeNi,0.5372299670871615,400.6459346735895,-14.0200489918152,3.2117684809999996,0.4836280386083004,5.5128240572751945,1734.45272345423,1654.4447260999996,0.10446143673841815,14.698050513986049,7.5455299999999985
11,AlCoCrCuFe0.5Ni,0.536589456543353,405.6987567322035,-11.5800001915712,3.279805524999999,0.5033904144996726,5.403527885785595,2047.6257289968294,1613.2415867999996,0.10694000162368017,14.698050513986049,7.818259999999998
12,AlCoCrCuFeNi0.5,0.5426415383237815,408.5252688663781,-9.912264358016001,3.2200321999999995,0.49900761362919693,5.427205693451207,2403.3268337803293,1620.7871167999997,0.10178305137532831,14.698050513986049,7.636439999999999
13,CuNiCoFeCrAl0.5,0.4902131283910091,353.5447480718665,-4.853716907592799,3.172258994999999,0.7878115337798651,4.319353021406621,5126.805331650987,1693.0178390999997,0.0979268829698046,14.698050513986049,8.27281
