Alloy,Al,Co,Cr,Cu,Fe,Ni,V,Mo,Zr,Mn,Sn,Ti,W,Ta,Nb,Hf
Al0.5CoCrCuFeNi,9.091,18.182,18.182,18.182,18.182,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.3CoCrFeNi,6.977,23.256,23.256,0.0,23.256,23.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.5CrCuFeNi2,9.091,0.0,18.182,18.182,18.182,36.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoCrFeNi ,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NiCoCr,0.0,33.333,33.333,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeNiCo,0.0,33.333,0.0,0.0,33.333,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlCoCrCuFeNi,16.667,16.667,16.667,16.667,16.667,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.5CoCrCuFeNi,9.091,18.182,18.182,18.182,18.182,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlCo0.5CrCuFeNi,18.182,9.091,18.182,18.182,18.182,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlCoCr0.5CuFeNi,18.182,18.182,9.091,18.182,18.182,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlCoCrCu0.5FeNi,18.182,18.182,18.182,9.091,18.182,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlCoCrCuFe0.5Ni,18.182,18.182,18.182,18.182,9.091,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlCoCrCuFeNi0.5,18.182,18.182,18.182,18.182,18.182,9.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CuNiCoFeCrAl0.5,9.091,18.182,18.182,18.182,18.182,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CuNiCoFeCrAl0.5V0.2,8.772,17.544,17.544,17.544,17.544,17.544,3.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CuNiCoFeCrAl0.5V0.4,8.475,16.949,16.949,16.949,16.949,16.949,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
