,Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity,Mixing Entropy,Valence electron
0,TaNbHfZrTi,0.12915609780416865,476.41494518958996,2.644,3.19618,0.5364617132909553,4.994417459613796,12769.215377908751,2523.0,0.08681013765684283,13.381611359171915,4.4
1,TiTa,0.1752499999999999,674.5,1.3880000000000001,3.12605,4.707130802447901,1.1065006915629283,10859.876948313995,2615.5,0.019999999999999907,5.763146321643979,4.5
2,MoZr,0.04249999999999998,384.0,-5.9879999999999995,3.1895,0.08801961326793098,8.09170600134862,2417.672605205357,2512.0,0.07499999999999996,5.763146321643979,5.0
3,MoW,0.009100000000000108,399.5,-0.221,3.1561000000000003,268.4509576286498,0.14652014652014045,85938.6819139264,3295.5,0.0,5.763146321643979,6.0
4,WTa,0.06804999999999994,202.5,-7.298,3.23325,1.1359611532326008,2.252413299964251,2757.986918106549,3492.5,0.06499999999999995,5.763146321643979,5.5
5,WZr,0.033399999999999874,783.5,-8.904,3.1986000000000003,0.09127430585426119,7.946127946127951,1884.4789437855395,2911.5,0.07499999999999996,5.763146321643979,5.0
6,MoTi,0.09809999999999985,477.5,-3.507,3.0488999999999997,0.4692736415995335,3.5044247787610505,3974.385337580828,2418.5,0.04500000000000004,5.763146321643979,5.0
7,TaZr,0.03465000000000007,581.0,2.7389999999999994,3.26665,0.17713821354814877,5.703923508077819,5700.023141779315,2709.0,0.010000000000000009,5.763146321643979,4.5
8,TiZr,0.14059999999999984,93.5,-0.222,3.0913999999999997,0.27232178086336645,4.600326264274063,52815.86122245349,2034.5,0.029999999999999916,5.763146321643979,4.0
9,WTi,0.10719999999999996,877.0,-5.636,3.0580000000000003,0.5110675781759599,3.358077059031456,2881.5731608219894,2818.0,0.04500000000000004,5.763146321643979,5.0
10,MoTa,0.07715000000000005,197.0,-4.8580000000000005,3.22415,1.0015022102929516,2.3988542785535136,3669.2901549701164,3093.0,0.06499999999999995,5.763146321643979,5.5
11,MoWZr,0.03654276005996258,639.7635989488617,-6.7167545517828,3.181368186,0.15135057099508384,7.768677482181132,3952.3905246599506,2906.3042699999996,0.07071032456438023,9.134362606477172,5.333279999999999
12,MoTiTa,0.14343071438781851,566.3757223080805,-3.1008268714211997,3.1330020029999996,1.0799237112740432,2.908322649217512,7980.045928756546,2708.9729099999995,0.05436474960854686,9.134362606477172,4.999949999999999
13,WTaZr,0.05556543901923204,664.1383977605872,-5.9834358850428,3.2328010049999993,0.19738266903105428,6.802751633203869,4637.280631487132,3037.6362899999995,0.06649945864441298,9.134362606477172,4.999949999999999
14,TiTaZr,0.15155641147704693,596.7487792530454,1.7355208446179997,3.1613350529999997,0.36306777047181094,5.015858481784002,12910.45709837358,2452.97547,0.02494425785626816,9.134362606477172,4.33329
