,Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity,Mixing Entropy,Valence electron,Young's Mod (GPa)
0,Al0.5CoCrCuFeNi,0.487879754605057,346.087653373348,-4.8537169075928,3.172258995,0.845567528393978,4.16922870704349,5126.80533165099,1693.0178391,0.094870982008582,14.6980505139861,8.27281,161.1
1,Al0.3CoCrFeNi,0.449912830376697,295.639150039142,-9.9319685620896,3.028509071,0.908382128753633,3.75761596212103,2332.64739073327,1806.3049219,0.095561074572848,12.8260629035067,7.88379,168
2,Al0.5CrCuFeNi2,0.381974709505247,344.853267274408,-5.8561171205856,3.357151753,0.714538674797879,4.19964640402581,3627.71639881828,1685.7450391,0.10007361413207,12.6023399855834,8.45463,172.1
3,CoCrFeNi ,0.36544295724504,180.372357915508,-3.7145,2.9519,126.282311005301,0.302115884766778,5808.14059902389,1871.75,0.086998563206527,11.526292643288,8.25,173.9
4,NiCoCr,0.418116714951938,204.299410865524,-5.0252328271692,2.980336863,337.314134786593,0.164559081175171,3439.05284067198,1891.98108,0.100332277956797,9.13436260647717,8.33325,174.4
5,FeNiCo,0.421049517330444,33.8918158262434,-1.0315349245476,2.965837008,85.088315461301,0.3276454648614,15664.5456004025,1768.98231,0.032659699937385,9.13436260647717,8.99991,173.8
6,AlCoCrCuFeNi,0.52629261359349,392.256327964101,-10.4101941730528,3.24539824,0.534140158305353,5.2811834103273,2332.26035156062,1629.7392608,0.102731121339479,14.8976487870461,7.83349,171.7
7,Al0.5CoCrCuFeNi,0.487879754605057,346.087653373348,-4.8537169075928,3.172258995,0.845567528393978,4.16922870704349,5126.80533165099,1693.0178391,0.094870982008582,14.6980505139861,8.27281,173.3
8,AlCo0.5CrCuFeNi,0.498108690160655,407.374962776624,-10.5428224235336,3.312478579,0.495194503571481,5.44806098057961,2254.51610293637,1617.1507168,0.105150634900603,14.6980505139861,7.72735,71.6
9,AlCoCr0.5CuFeNi,0.539452709786704,371.239503814036,-11.0348653220952,3.27585094,0.496652965223833,5.44005576313408,2104.09895729378,1579.6957968,0.100164086024338,14.6980505139861,8.00008,161.1
10,AlCoCrCu0.5FeNi,0.537229967087162,400.64593467359,-14.0200489918152,3.211768481,0.4836280386083,5.51282405727519,1734.45272345423,1654.4447261,0.104461436738418,14.6980505139861,7.54553,121.1
11,AlCoCrCuFe0.5Ni,0.536589456543353,405.698756732204,-11.5800001915712,3.279805525,0.503390414499673,5.40352788578559,2047.62572899683,1613.2415868,0.10694000162368,14.6980505139861,7.81826,178.6
12,AlCoCrCuFeNi0.5,0.542641538323781,408.525268866378,-9.912264358016,3.2200322,0.499007613629197,5.42720569345121,2403.32683378033,1620.7871168,0.101783051375328,14.6980505139861,7.63644,115.5
13,CuNiCoFeCrAl0.5,0.490213128391009,353.544748071866,-4.8537169075928,3.172258995,0.787811533779865,4.31935302140662,5126.80533165099,1693.0178391,0.097926882969805,14.6980505139861,8.27281,174.4
14,CuNiCoFeCrAl0.5V0.2,0.482166150297656,358.553615503285,-5.7326447309664,3.16726824,0.841267303361326,4.28493178675397,4608.04522772691,1710.2119072,0.10706650856847,15.4462064517098,8.15797,141.1
15,CuNiCoFeCrAl0.5V0.4,0.474500243435063,362.443613428996,-6.4834848990792,3.16258865,0.872781080895523,4.24974728784142,4196.80640163555,1726.2190498,0.114301698309928,15.7627335490913,8.05081,71.9
16,CuNiCoFeCrAl0.5V0.6,0.467182258831846,365.41549264791,-7.1245677164896,3.15817874,0.89678507605372,4.21400691000133,3891.87526556694,1741.159562,0.120145339961889,15.9249786629622,7.95063,130.9
17,CuNiCoFeCrAl0.5V0.8,0.460200422138934,367.643000562562,-7.6729427528312,3.15417164,0.916333739979613,4.17812514202091,3659.19431345903,1755.217196,0.124931167330568,15.9961904160017,7.85713,166.7
18,CuNiCoFeCrAl0.5V1.0,0.45351274422757,369.24216479683,-8.140896575788,3.150404665,0.932950593610529,4.14208048300947,3477.04332645845,1768.4249269,0.12888648277079,16.0064754119092,7.76941,127.8
19,CuNiCoFeCrAl0.5V1.2,0.447106232468716,370.323286489841,-8.540450731752,3.14669531,0.94733748921333,4.10626613769792,3330.53702236798,1780.7220886,0.132168348777816,15.9734567970528,7.68639,257.3
20,CuNiCoFeCrAl0.5V1.4,0.440965451327462,370.969360592091,-8.8804352777948,3.143396695,0.960156174336684,4.07060341294377,3211.2227476648,1792.4424523,0.134910089521646,15.9096074390715,7.6088,218
21,CuNiCoFeCrAl0.5V1.6,0.435072848628487,371.252435091601,-9.169396084708,3.140235415,0.971655835066911,4.03535184114855,3112.01029089955,1803.4598619,0.137198473208243,15.8225062724061,7.53541,130.5
22,CuNiCoFeCrAl0.5V1.8,0.429404055750355,371.224966333331,-9.413775446152,3.13721593,0.982143854866066,4.00046055559967,3028.55612819318,1813.8625426,0.139110124596544,15.7179205409973,7.46593,136.6
23,CuNiCoFeCrAl0.5V2.0,0.423950332760878,370.938117200467,-9.6195361029724,3.13427219,0.991758961396973,3.96607509808938,2957.43319226932,1823.648239,0.140700849289434,15.6001221928434,7.39988,128
24,FeNiCrCuCo,0.420915530718457,261.333925206813,3.24432,3.0845,12.535352188784,1.03320366050645,7296.27624286525,1768.954,0.081141851100403,13.3816113591719,8.8,112
25,FeNiCrCuMo,0.308048862357906,521.005197348357,4.59216,3.21248,1.04396718290287,3.58022880885234,5812.15516508174,1994.554,0.152184099037974,13.3816113591719,8.2,81.9
26,FeNiCrCoAl1.5,0.581692108133309,451.108801576281,-22.49466476258,3.251277967,0.305906373485098,6.58249450934077,952.131345105004,1615.8716131,0.1117346364261,13.2546888282739,6.81825,121.1
