,Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity,Mixing Entropy,Valence electron,Young's Mod (GPa)
0,TaNbHfZrTi,0.129156097804169,476.41494518959,2.644,3.19618,0.536461713290955,4.9944174596138,12769.2153779088,2523,0.086810137656843,13.3816113591719,4.4,49.88
1,TiTa,0.17525,674.5,1.388,3.12605,4.7071308024479,1.10650069156293,10859.876948314,2615.5,0.02,5.76314632164398,4.5,110.7408
2,MoZr,0.0425,384,-5.988,3.1895,0.088019613267931,8.09170600134862,2417.67260520536,2512,0.075,5.76314632164398,5,158.3784
3,MoW,0.0091,399.5,-0.221,3.1561,268.45095762865,0.14652014652014,85938.6819139264,3295.5,0,5.76314632164398,6,285.8335
4,WTa,0.06805,202.5,-7.298,3.23325,1.1359611532326,2.25241329996425,2757.98691810655,3492.5,0.065,5.76314632164398,5.5,218.0652
5,WZr,0.0334,783.5,-8.904,3.1986,0.091274305854261,7.94612794612795,1884.47894378554,2911.5,0.075,5.76314632164398,5,188.7576
6,MoTi,0.0981,477.5,-3.507,3.0489,0.469273641599534,3.50442477876105,3974.38533758083,2418.5,0.045,5.76314632164398,5,154.9023
7,TaZr,0.03465,581,2.739,3.26665,0.177138213548149,5.70392350807782,5700.02314177931,2709,0.01,5.76314632164398,4.5,141.1359
8,TiZr,0.1406,93.5,-0.222,3.0914,0.272321780863366,4.60032626427406,52815.8612224535,2034.5,0.03,5.76314632164398,4,90.7825
9,WTi,0.1072,877,-5.636,3.058,0.51106757817596,3.35807705903146,2881.57316082199,2818,0.045,5.76314632164398,5,191.9181
10,MoTa,0.07715,197,-4.858,3.22415,1.00150221029295,2.39885427855351,3669.29015497012,3093,0.065,5.76314632164398,5.5,225.55
11,MoWZr,0.036542760059963,639.763598948862,-6.7167545517828,3.181368186,0.151350570995084,7.76867748218113,3952.39052465995,2906.30427,0.07071032456438,9.13436260647717,5.33328,157.5717
12,MoTiTa,0.143430714387819,566.375722308081,-3.1008268714212,3.133002003,1.07992371127404,2.90832264921751,7980.04592875655,2708.97291,0.054364749608547,9.13436260647717,4.99995,159.9126
13,WTaZr,0.055565439019232,664.138397760587,-5.9834358850428,3.232801005,0.197382669031054,6.80275163320387,4637.28063148713,3037.63629,0.066499458644413,9.13436260647717,4.99995,179.9365
14,TiTaZr,0.151556411477047,596.748779253045,1.735520844618,3.161335053,0.363067770471811,5.015858481784,12910.4570983736,2452.97547,0.024944257856268,9.13436260647717,4.33329,120.8907
15,MoTiZr,0.117752863645858,413.226146292802,-4.3185802937652,3.109902234,0.205198001142402,6.67194658804405,4910.57979074029,2321.64345,0.061643831808219,9.13436260647717,4.66662,130.5883
16,MoWTa,0.068849686007999,326.199057049526,-5.5007788716612,3.204467955,1.86543788405375,2.21283344976228,5469.26998606261,3293.63373,0.06128228128913,9.13436260647717,5.66661,265.0655
17,MoWTi,0.097063662997025,717.007340004271,-4.1616945426384,3.08763579,0.851918676337328,3.27446274979637,6242.13699621484,2843.97156,0.042426194738628,9.13436260647717,5.33328,192.246
18,WTiTa,0.144275564494477,749.836381899411,-5.1314529249576,3.139068609,1.18198459201214,2.77992587747974,5296.25861554488,2975.30358,0.054364749608547,9.13436260647717,4.99995,182.8289
19,WTiZr,0.119954502935071,786.477260408716,-6.5607576717672,3.11596884,0.212080854359394,6.56278824843633,3603.16524568284,2587.97412,0.061643831808219,9.13436260647717,4.66662,121.5248
20,MoTaZr,0.063100996329694,482.503085420187,-3.6030390492492,3.226734399,0.191833817148678,6.90043611703638,7025.76632682429,2771.30562,0.066499458644413,9.13436260647717,4.99995,181.26109
21,MoWTaZr,0.060803304803275,578.425611033951,-6.1325,3.211375,0.252350496188067,6.75838206039353,5642.8556197817,3002.25,0.070356236397351,11.526292643288,5.25,196.7513
22,MoWTiZr,0.104747828139776,694.047188597433,-6.1195,3.12375,0.254623598171421,6.72814736871095,5019.6208667967,2665,0.063639610306789,11.526292643288,5,159.15988
23,MoWTiTa,0.124993747343617,650.288589781491,-5.033,3.141075,1.28622438400811,2.99354955338476,6768.51935371301,2955.5,0.056789083458003,11.526292643288,5.25,196.83719
24,MoTaTiZr,0.131399702720364,551.254194995376,-2.612,3.157775,0.322298937990175,5.980195524887,11313.3739526147,2563.75,0.057608593109015,11.526292643288,4.75,161.75
25,WTiTaZr,0.131262854132462,745.865436925455,-4.48325,3.162325,0.331379891283909,5.89768734250023,7104.87028823427,2763.5,0.057608593109015,11.526292643288,4.75,156.39548
26,MoTaTiWZr,0.117564987985369,669.224327113114,-5.20112,3.15926,0.36490021232611,6.05573898982994,7178.20309704249,2790,0.063435006108615,13.3816113591719,5,152.04969
27,Al0.25MoNbTiV,0.288027682307856,611.952709009309,-8.4703560579396,3.162422768,0.793463108719686,4.00202325425612,3531.29135878833,2353.6900054,0.076961972114558,12.7082560084964,4.88226,163.6
28,Al0.25NbTaTiV,0.293389390166009,757.05690952969,-7.1522789552808,3.198728015,0.865648983193319,3.83152854972613,4346.78300675985,2446.3942654,0.096024325726472,12.7082560084964,4.64697,130
29,Al0.2MoTaTiV,0.277785428862844,776.276873586434,-7.388005261912,3.1522059,0.775159602427551,4.02679306600469,4252.01209915841,2499.2628414,0.097512460566403,12.5692613205496,4.90486,184
30,Al0.3HfNbTaTiZr,0.253739749351673,667.767353435523,-6.437977751808,3.244477912,0.582872085969211,4.97607332293878,5454.37830317223,2433.032602,0.113715848328655,14.4326739135767,4.32076,108.3
31,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.264560501579506,599.873337933201,-7.3945136,3.219002,0.349328086104546,6.2082328635685,4217.83883897118,2316.4882,0.083567070069496,13.4638573412032,4.34,110.2
32,Al0.4Hf0.6NbTaTiZr,0.277330649788299,710.378597931554,-9.6782144,3.264428,0.591818611961274,4.94995253248769,3591.69361921978,2397.1976,0.105168626500492,14.5007574285578,4.32,110
33,Al0.5CrNbTi2V0.5,0.352757357116758,499.663352758635,-14.92672,3.13035,0.305591463022211,6.32593238649347,1699.20006718576,2074.047,0.119343621530436,12.2289820948431,4.6,143
34,Al0.5HfNbTaTiZr,0.28279001003668,679.004373889675,-11.4216499171752,3.273787283,0.597676530727266,4.9590303535788,3060.82071400945,2378.5210577,0.120272297909974,14.6980505139861,4.27277,106.9
35,Al0.5MoNbTiV,0.331750231459603,634.987362230461,-13.1778105139104,3.211734549,0.850495509027578,3.93150736054798,2269.29813626393,2274.8072517,0.078510517278473,13.145896566361,4.77773,158.4
36,Al0.5NbTa0.8Ti1.5V0.2Zr,0.317814059003059,654.273164820505,-12.6162992,3.246078,0.488757248963632,5.30954258199171,2473.64473797563,2264.967,0.086133166666506,13.7786740949454,4.3,111.3
37,Al0.5NbTaTiV,0.331232662064766,752.749891006774,-12.7003879637392,3.246023095,0.941369345189281,3.73693100493358,2445.22968078636,2362.3619317,0.096222061867329,13.145896566361,4.55551,126.7
38,Al0.6MoTaTiV,0.346513994092041,776.440575216818,-14.8371164811148,3.230138334,0.865091720277723,3.91246089048513,2109.03780395901,2363.0433921,0.095853561461534,13.2422619343463,4.73909,174.1
39,Al0.75HfNbTaTiZr,0.313287738214342,703.152328929603,-16.6734479104248,3.307414604,0.610506695429961,4.93285757000787,2063.14996771502,2315.6271421,0.12766421421794,14.8555105840116,4.21731,105.3
40,Al0.75MoNbTiV,0.366399676827934,665.018355574476,-16.8732676307004,3.255884501,0.893483545299625,3.86294112308387,1741.75508067022,2204.2636783,0.080937064733366,13.3328421243808,4.68427,153.8
41,Al1.5MoNbTiV,0.43979479329378,769.092821483235,-23.8767089319744,3.364115459,0.983699285884639,3.67073971155525,1127.45149883222,2030.9666731,0.09048240348769,13.2546888282739,4.45459,142.4
42,AlCr0.5NbTiV,0.429937059036139,624.317583137264,-22.9751454284704,3.285678254,0.419644824485846,5.59698534534435,1131.30997759921,1977.1957834,0.106931196186042,13.145896566361,4.4444,124.1
43,AlMoNbTiV,0.394943183761918,698.684225200484,-19.78224,3.29554,0.928414931146417,3.79649776117411,1448.06327023184,2140.694,0.083889451065077,13.3816113591719,4.6,149.6
44,AlMoTaTiV,0.394945562831132,816.349032304198,-19.90448,3.29572,0.924884582996521,3.80373660666967,1511.77770902338,2248.694,0.098986059624576,13.3816113591719,4.6,165.8
45,AlNb1.5Ta0.5Ti1.5Zr0.5,0.39179548657431,776.165107533829,-22.28772,3.33859,1.03228107225446,3.48141511849591,1198.95616520923,2135.794,0.101556535978735,12.5115059329022,4.2,105.7
46,AlNbTaTiV,0.388099971656788,795.005429002847,-20.52672,3.3264,1.05199374335168,3.56654434166941,1446.91436927156,2219.494,0.101452649053635,13.3816113591719,4.4,121
47,AlNbTiV,0.433682034300477,657.207975201724,-24.487,3.332675,0.73985496964252,3.94703995988979,918.764895900799,1951.8675,0.093603886137276,11.526292643288,4.25,104.8
48,CoCrMoNbTi0.4,0.291741414385404,450.979188898152,-12.5293530277776,2.964702143,0.244830700087999,6.45823552679778,1920.89365634611,2356.88469,0.182536552048044,10.2115962020946,6.27266,220.1
49,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0.130573354237388,531.76945164352,2.434493784476,3.221532931,0.483606522949709,5.07294700958969,13666.5556935514,2673.3446,0.078888501946672,12.4455129694638,4.61478,125
50,Hf0.5Mo0.5NbTiZr,0.133062955025056,365.897270418898,-0.2261875,3.163725,0.38691701792141,5.78911485754577,136442.767847045,2380,0.087633826231656,12.967079223699,4.5,123.1
51,Hf0.5Nb0.5Ta0.5Ti1.5Zr,0.153755133552509,456.739805578625,1.807625,3.1393125,0.523261252006137,4.87257527870634,16000.5033928305,2328.125,0.073516579762663,12.4232633322804,4.25,106.6
52,Hf0.75NbTa0.5Ti1.5Zr1.25,0.144662890628523,434.170660570242,2.27077,3.16291,0.531113301469836,4.9171627221355,13398.1524554743,2369.2,0.080124902496041,12.8415172426631,4.3,103.1
53,HfMo0.25NbTaTiZr,0.128363569245365,472.135818804394,1.5345012875072,3.193901972,0.501972918787459,5.34414083239116,23737.8550972066,2540.81272,0.090797333713738,14.3362668655575,4.47628,121
54,HfMo0.5NbTaTiZr,0.124737073780376,466.919762289372,0.6111196602264,3.191741008,0.48166784115206,5.5240301736303,61496.883899495,2556.93466,0.093225511529838,14.6980505139861,4.5455,130.5
55,HfMo0.5NbTiV0.5,0.133031932256883,352.071614696499,-0.73225,3.134025,0.323171721223993,6.33438427748289,43104.8026157545,2434.125,0.13170160401453,12.967079223699,4.625,131.9
